Category,Subcategory,Example (literal or template),Severity (High/Medium/Low),Why it reads as AI,Human alternative / fix
Lexical/Word choice,MBA abstraction,solution space,High,"Inflates ""options"" or ""approaches"" into business-school jargon; reads as filler.",Use the plain word: options/approaches/possibilities.
Lexical/Word choice,MBA abstraction,value proposition,Medium,"Corporate noun phrase that pads ""offer"" or ""what it does for you."" Reads as deck-speak in prose.","Say the plain version: the offer, what it does, why it matters."
Lexical/Word choice,MBA abstraction,go-to-market motion,Medium,"""Motion"" suffix inflates a plain noun; reads as boardroom jargon imported into prose.","Use ""sales approach,"" ""launch plan,"" or whatever the motion actually is."
Lexical/Word choice,MBA abstraction,north star metric,Medium,"Stock business-school noun phrase; rarely earns its inflation in narrative writing.","Use ""key metric"" or name the specific metric."
Lexical/Word choice,MBA abstraction,operating cadence,Medium,"""Cadence"" inflates ""schedule"" or ""rhythm of meetings."" Reads as McKinsey-speak.","Use ""schedule,"" ""routine,"" or just describe the actual rhythm."
Lexical/Word choice,MBA abstraction,frameworks for thinking about [X],Medium,Empty scaffolding; usually means the writer has not yet said what they think.,"Make the point directly. If there really is a framework, name it and use it."
Lexical/Word choice,MBA abstraction,mental models around [X],Medium,"""Around"" suffix evades commitment to a specific claim; corporate AI hedge.","""How to think about X"" — or just make the claim."
Lexical/Word choice,MBA abstraction,thought leadership,Medium,"Self-congratulatory corporate phrase; almost never describes anything specific.",Name the actual thing — analysis/argument/POV.
Lexical/Word choice,MBA abstraction,strategic alignment,Medium,"Empty managerial filler; rarely refers to anything concrete in prose.",Say what is actually being aligned and why.
Structure/Formatting,Sentence patterns,"Triplet sentences where one strong sentence would do (e.g., ""It mattered. It changed things. It was real."")",High,"Three short parallel sentences doing the work of one; the 2nd and 3rd rephrase the first for rhythm rather than adding information.",Collapse to a single strong sentence with the load-bearing content. Reserve triplets for moments where each sentence adds new material.
Structure/Formatting,Sentence patterns,"Asyndeton in serial lists (e.g., ""She opened the laptop, ran the script, watched it fail."")",Medium,"LLMs reach for dropped ""and"" as a stylistic crutch for rhythm; humans usually keep the conjunction.","Restore the ""and"" before the final item unless asyndeton is doing specific rhetorical work — and even then, use it once, not as default."
Structure/Formatting,Aphoristic equations,"""X without Y is just Z"" (e.g., ""A coach without context is just a chatbot."")",High,"Symmetrical aphorism that sounds quotable but says nothing earned; the shape would work for any topic with the right nouns swapped in. Classic AI cleverism.",Back the line with the specific evidence/example that earned it — or cut. An aphorism without backing is a quotable hole.
Structure/Formatting,Aphoristic equations,"""X is Y for Z"" (e.g., ""Prompts are the new code."")",Medium,"Portable equation shape; substitutes pattern-match for argument.","If the equation is true, prove it with cases. If it's just a clever shape, cut."
Structure/Formatting,Aphoristic equations,"""What gets X gets Y"" (e.g., ""What gets named gets measured."")",Medium,Quotable but rarely earned by the surrounding argument.,Cut or earn it. Quotability without backing is rhetorical air.
Structure/Formatting,Aphoristic equations,"""The best X is the X that doesn't [verb]""",Medium,Tweetable inversion shape; reliably more clever than true.,Make the underlying claim directly and defend it.
Search pattern,Regex,\b(problem|solution|design|opportunity|product|market)\s+space\b,—,Catches MBA-abstraction nouns ending in 'space',Use with care; review hits in context.
Search pattern,Regex,\b(go-to-market|launch|sales|operating)\s+motion\b,—,Catches MBA-abstraction nouns ending in 'motion',Use with care; review hits in context.
Search pattern,Regex,\b(frameworks?|mental models?)\s+(for thinking about|around)\b,—,Catches framework/mental-model scaffolding,Use with care; review hits in context.
Search pattern,Regex,\bwithout\s+\w+\s+(is|are)\s+just\s+\w+,—,"Catches ""X without Y is just Z"" aphorism shape",Use with care; review hits in context.
Lexical/Framing,Openers,"In a world where [X], [Y]",High,Generic scene-setting that delays the actual subject.,Start with the concrete event or claim.
Lexical/Framing,Openers,"In an era where [X], [Y]",High,Generic scene-setting that delays the actual subject.,Start with the concrete event or claim.
Lexical/Framing,Openers,With the rise of [X],Medium,Trend frame that substitutes a broad premise for a specific event or date.,Name the event or state the claim directly.
Lexical/Framing,Openers,"As [trend] continues to [verb], [claim]",Medium,Stock trend setup that makes almost any topic sound interchangeable.,State the observed change and evidence directly.
Lexical/Framing,Openers,Join us as we [verb],High,Promotional invitation frequently generated as contextless throat-clearing.,Begin with the substance.
Lexical/Word choice,AI-scent vocabulary,tapestry (used metaphorically),High,An exhausted AI metaphor that gestures at complexity without explaining it.,Name the specific elements and their relationship.
Lexical/Word choice,AI-scent vocabulary,reimagined,Medium,Vague transformation language that often omits what changed.,Describe the changed feature or behavior.
Lexical/Word choice,AI-scent vocabulary,nuanced,Medium,Often asserts complexity instead of identifying the relevant distinction.,Name the distinction.
Lexical/Word choice,AI-scent vocabulary,multifaceted,Medium,Often asserts complexity instead of identifying the relevant dimensions.,Name the dimensions that affect the claim.
Lexical/Word choice,AI-scent vocabulary,meticulous,Medium,Generic praise unless supported by an observable standard.,Name the care taken or the result.
Lexical/Word choice,AI-scent vocabulary,vibrant (generic praise),Medium,Stock positive adjective that rarely identifies what is vivid or active.,Use an observable detail.
Lexical/Word choice,AI-scent vocabulary,intricate,Medium,Generic complexity marker that can hide the actual mechanism.,Describe the parts or relationship.
Lexical/Word choice,AI-scent vocabulary,bespoke,Medium,Elevated substitute for custom or specific.,Use custom or say what was tailored.
Lexical/Word choice,AI-scent vocabulary,foster,Medium,Abstract verb frequently paired with broad outcomes.,Name the action that caused the outcome.
Lexical/Word choice,AI-scent vocabulary,underscore,Medium,Editorial drumroll that often restates importance rather than showing it.,State the implication directly.
Lexical/Word choice,AI-scent vocabulary,illuminate,Medium,Figurative verb that often promises clarity without supplying it.,Use show or explain what became visible.
Lexical/Word choice,AI-scent vocabulary,endeavor,Medium,Formal substitute for try or project.,Use try or name the work.
Lexical/Word choice,AI-scent vocabulary,embark,Medium,Journey language used to inflate an ordinary beginning.,Use start or name the first action.
Lexical/Word choice,AI-scent vocabulary,elevate,Medium,Generic improvement claim that omits the changed quality.,Name what improved and how.
Lexical/Word choice,AI-scent vocabulary,amplify,Medium,Generic impact claim that omits what increased.,Name the measurable or observable increase.
Lexical/Word choice,AI-scent vocabulary,optimize,Medium,Abstract improvement verb that often hides the actual tradeoff.,Name the metric or change.
Lexical/Word choice,AI-scent vocabulary,spearhead,Medium,Heroic corporate verb that can inflate ordinary responsibility.,Use led or name the work performed.
Lexical/Word choice,AI-scent vocabulary,revolutionize,Medium,Hyperbolic transformation claim that usually lacks evidence.,Describe the concrete change and scale.
Lexical/Word choice,Unnecessary formality,plethora,Medium,Elevated substitute for many.,Use many or give the number.
Lexical/Word choice,Unnecessary formality,myriad,Medium,Elevated substitute for many.,Use many or give the number.
Lexical/Word choice,Unnecessary formality,commence,Medium,Formal substitute for start.,Use start.
Lexical/Word choice,Unnecessary formality,facilitate,Medium,Abstract substitute for help or enable.,Name who helps whom do what.
Lexical/Word choice,Unnecessary formality,optimal,Medium,Unqualified superlative that hides the criterion.,Use best only with a named criterion or state the tradeoff.
Lexical/Word choice,Unnecessary formality,prior to,Low,Formal substitute for before.,Use before unless the genre requires formality.
Lexical/Word choice,Unnecessary formality,whilst,Low,Unnecessary formality in ordinary American prose.,Use while unless voice or region calls for whilst.
Lexical/Word choice,Unnecessary formality,amongst,Low,Unnecessary formality in ordinary American prose.,Use among unless voice or region calls for amongst.
Lexical/Sentential,Stock templates,Stands as a testament to [X],Medium,Ceremonial frame that asserts significance instead of showing it.,State what the evidence demonstrates.
Lexical/Sentential,Stock templates,Has emerged as a [X],Medium,Vague arrival language that often omits when or how the change happened.,Name the change and evidence.
Lexical/Sentential,Stock templates,Represents a significant milestone,High,Generic importance claim that does not identify the consequence.,Name what became possible or changed.
Lexical/Sentential,Stock templates,At the end of the day,Medium,Conversational cliché that delays the point.,Delete and state the claim.
Lexical/Sentential,Stock templates,One thing is clear,High,Unsupported emphasis that tells the reader how settled the claim is.,State and support the claim.
Lexical/Sentential,Stock templates,Moving forward,Medium,Corporate transition that rarely adds temporal precision.,Name the next action or date.
Lexical/Sentential,Stock templates,The bottom line is [X],Medium,Stock summary frame that announces importance instead of earning it.,State the conclusion directly.
Rhetoric/Figurative language,Empty analogy,[X] is like [Y] with no mapped correspondence,High,The comparison renames the subject but does not explain a shared mechanism or structure.,Name the exact correspondence and the inference it supports or cut the analogy.
Rhetoric/Figurative language,Empty metaphor,Metaphor removable with no loss of meaning,High,The image supplies polish but no semantic payload.,Cut it or replace it with the literal claim.
Rhetoric/Figurative language,Portable metaphor,Image still works after swapping the topic nouns,High,Interchangeability shows that the metaphor is generic rather than explanatory.,Use topic-specific detail or cut it.
Rhetoric/Figurative language,Restatement,Figurative sentence merely repeats the adjacent literal sentence,Medium,The image adds cadence without adding an inference.,Keep the stronger sentence and remove the duplicate.
Rhetoric/Figurative language,Extended metaphor,Callbacks continue after the comparison stops helping the reader reason,Medium,Literary continuity has overtaken explanatory value.,End the metaphor when its explanatory work is done.
Rhetoric/Figurative language,Vague transformation,"[Abstract quality] came back in a different form",High,The figurative transformation avoids naming what concretely changed.,Describe the changed behavior artifact or decision.
Rhetoric/Figurative language,Exhausted metaphor,A treasure trove of [X],High,Stock image used as generic praise for abundance.,Name what is present and why it is useful.
Rhetoric/Figurative language,Exhausted metaphor,A double-edged sword,High,Cliché contrast that replaces the actual benefits and costs.,Name the benefit and cost directly.
Rhetoric/Figurative language,Exhausted metaphor,Tip of the iceberg,Medium,Cliché scale claim that omits what remains unseen.,Name the visible and hidden portions.
Rhetoric/Figurative language,Exhausted metaphor,Cornerstone of [X],Medium,Cliché importance claim that does not show dependency.,Explain what depends on it.
Rhetoric/Figurative language,Exhausted metaphor,Navigating uncharted waters,High,Stacked travel metaphor that turns uncertainty into atmosphere.,Name the unknowns and the decision they affect.
Rhetoric/Figurative language,Exhausted metaphor,Embark on a journey,High,Generic narrative inflation for beginning a task or change.,Name the first action.
Rhetoric/Figurative language,Exhausted metaphor,A beacon of hope/light,High,Cliché uplift that avoids the source and effect of hope.,Name the event and the response it caused.
Rhetoric/Figurative language,Exhausted metaphor,Standing at a crossroads,High,Cliché decision image that omits the actual choices.,Name the options and stakes.
Rhetoric/Figurative language,Exhausted metaphor,A catalyst for change,Medium,Stock causation language that often leaves the mechanism unspecified.,Name what caused what and how.
Rhetoric/Figurative language,Exhausted metaphor,Blueprint for success,High,Cliché plan metaphor paired with an undefined outcome.,Name the plan steps and success criterion.
Rhetoric/Figurative language,Exhausted metaphor,Symphony of [X],High,Ornamental harmony metaphor that rarely explains the relationship among parts.,Describe how the parts interact.
Rhetoric/Figurative language,Exhausted metaphor,Mosaic of [X],High,Ornamental complexity metaphor that rarely explains the relationship among parts.,Name the parts and the pattern they form.
Sentence structure,Dramatic reveal,"The critical finding alone justified [X]",Medium,Artificial suspense inflates a finding instead of stating its consequence.,State the finding and consequence directly.
Sentence structure,Dramatic reveal,"[Small thing] that [disproportionate impact]",Medium,Formulaic reveal shape can manufacture importance without causal detail.,Explain the causal link and scale.
Sentence structure,Vague transformation,"The clarity I was afraid of losing came back in a different form",High,Abstract emotional resolution does not identify what changed in the work or thinking.,Name the observable change.
Structure/Formatting,Sentence patterns,Uniform sentence length across a passage,Medium,Mechanical cadence suggests generated prose and flattens emphasis.,Vary sentence length according to meaning and pressure.
Structure/Formatting,Sentence patterns,Repeated subject + verb + object followed by a present-participle phrase,Medium,Repeated participial tails create a predictable model cadence.,Vary sentence construction and make causal relationships explicit.
Structure/Formatting,Sentence patterns,Repeated sentence mold across consecutive paragraphs,Medium,Template repetition makes distinct ideas feel algorithmically processed.,Restructure at least one paragraph around its actual logic.
Discourse markers,Transitional adverbs,Accordingly,Medium,LLMs use formal connectors to manufacture logical continuity.,Use a plain connector or make the causal link explicit.
Discourse markers,Transitional adverbs,Significantly (as a transition),Medium,Announces importance rather than demonstrating it.,State the consequence directly.
Discourse markers,Transitional adverbs,Essentially,Medium,Often introduces a loose summary that reduces precision.,State the precise claim.
Discourse markers,Transitional adverbs,Indeed,Medium,Formal affirmation often used as paragraph glue.,Delete or connect the evidence directly.
Tone/Stance,Hedging,Generally speaking,Medium,Generic hedge avoids defining the scope of the claim.,Name the population period or conditions.
Tone/Stance,Hedging,It can be argued that [X],Medium,Agentless hedge distances the writer from the claim.,Make the supportable claim or identify who argues it.
Tone/Stance,Hedging,In most instances / In many cases,Medium,Vague frequency language hides the actual base rate.,Give the frequency scope or examples.
Tone/Stance,Hedging,To some extent,Medium,Unquantified softening weakens the claim without clarifying its limit.,Name the exact limit or remove the hedge.
Tone/Stance,Hedging,While there are different perspectives [X],Medium,Generic balance frame delays the writer's judgment.,Name the relevant disagreement and take a supported position.
Tone/Stance,Hedging,It depends on [X],Medium,Often stops before identifying the decision rule.,Name what it depends on and how the condition changes the answer.
Tone/Stance,Hedging,Based on the information provided,High,Chatbot frame that foregrounds input limitations instead of answering.,State the answer and any material limitation directly.
Tone/Stance,Hedging,"might/could/perhaps/generally/arguably/potentially/somewhat/often used in clusters",Medium,Accumulated uncertainty words create reflexive caution rather than calibrated confidence.,Keep only uncertainty required by the evidence and specify its source.
Tone/Stance,False enthusiasm,Absolutely! / Certainly!,High,Stock assistant enthusiasm delays substance and exposes chatbot posture.,Start with the answer.
Tone/Stance,False enthusiasm,Great question! / What a thoughtful question!,High,Generic praise is a common assistant tic and adds no content.,Start with the substance.
Tone/Stance,False enthusiasm,I'd be happy to help with that!,High,Stock service language foregrounds the assistant rather than the work.,Begin the requested work.
Tone/Stance,False enthusiasm,That's an interesting/exciting/fascinating topic!,High,Generic enthusiasm does not identify what is interesting or why.,State the specific observation.
Tone/Stance,Perpetual balance,Both sides present valid points,Medium,Default neutrality avoids evaluating the competing evidence.,State the strongest supported judgment and its limits.
Tone/Stance,Perpetual balance,"While [X] has merit, [Y] also deserves consideration",Medium,Symmetric balance frame can substitute for analysis.,Compare the evidence or consequences directly.
Tone/Stance,Perpetual balance,There are pros and cons,Medium,Generic balance statement adds no decision value.,Name the material tradeoffs and decision rule.
Tone/Stance,Perpetual balance,Reasonable people may disagree,Medium,Consensus hedge can avoid taking a supported position.,State the disagreement and the writer's judgment.
Lexical/Word choice,Corporate boilerplate,paradigm shift,Medium,Grand transformation label often used without a defined before and after.,Describe the before and after.
Lexical/Word choice,Corporate boilerplate,scalability,Medium,Abstract capacity claim that omits the limiting resource or target scale.,Name what must scale and the constraint.
Lexical/Word choice,Corporate boilerplate,holistic approach,Medium,Broad completeness claim that rarely identifies included dimensions.,Name the dimensions.
Lexical/Word choice,Corporate boilerplate,pivot,Medium,Startup shorthand that can hide the actual change in direction.,Name what changed and why.
Lexical/Word choice,Corporate boilerplate,agile,Medium,Process label that often substitutes for actual working practices.,Describe the practice.
Lexical/Word choice,Corporate boilerplate,best practices,Medium,Anonymous authority phrase that hides whose standard applies.,Name the practice and evidence.
Lexical/Word choice,Corporate boilerplate,pain points,Medium,Generic customer abstraction that can flatten specific problems.,Name the problem and who experiences it.
Lexical/Word choice,Corporate boilerplate,stakeholders,Medium,Broad role label that can hide the people and interests involved.,Name the people or groups.
Lexical/Word choice,Corporate boilerplate,deliverables,Medium,Managerial container word that can obscure the actual artifact.,Name the artifact.
Lexical/Word choice,Corporate boilerplate,actionable insights,High,Corporate promise that rarely names the action or insight.,State the finding and the action it supports.
Lexical/Word choice,Corporate boilerplate,key takeaways,Medium,Stock summary label that can encourage generic repetition.,Name the conclusions directly.
Lexical/Word choice,Corporate boilerplate,move the needle,High,Cliché impact language without a named metric.,Name the metric and change.
Lexical/Word choice,Corporate boilerplate,low-hanging fruit,High,Cliché prioritization language that hides effort and value.,Name the easy high-value action and why.
Lexical/Word choice,Corporate boilerplate,circle back,Medium,Office cliché that avoids a concrete follow-up action.,Name who will do what and when.
Lexical/Word choice,Corporate boilerplate,touch base,Medium,Office cliché that avoids the purpose of contact.,Name the conversation or decision needed.
Lexical/Word choice,Corporate boilerplate,win-win,Medium,Generic mutual-benefit claim without identifying benefits or tradeoffs.,Name each party's benefit and any cost.
Lexical/Word choice,Corporate boilerplate,disruptive,Medium,Innovation puffery without a defined market or behavior change.,Describe the change and evidence.
Lexical/Word choice,Corporate boilerplate,digital transformation,High,Broad corporate label that hides the actual systems process and behavior changes.,Name the systems and changes.
Discourse markers,Closers,"In summary, [X]",High,Formulaic wrap-up that often repeats earlier material.,End on the strongest implication or next step.
Discourse markers,Closers,"To summarize, [X]",High,Formulaic wrap-up that often repeats earlier material.,End on the strongest implication or next step.
Discourse markers,Closers,Conclusion repeats earlier points without a new implication,Medium,Summary replaces payoff and leaves the piece inert.,Cut repetition and end on consequence action or a specific open question.
Discourse markers,Argument self-commentary — evidence self-rating,"[X] is the cleanest thing we found",High,Writer grades their own evidence instead of letting it read as clean; survives every lexical scan because the words are plain.,Cut the rating and present the evidence; if it cannot carry the judgment unaided the judgment is unearned.
Discourse markers,Argument self-commentary — evidence self-rating,The good part is measurable,High,Announces the structure of the paragraph that follows and rates the material before showing it.,Open on the measurement itself.
Discourse markers,Argument self-commentary — evidence self-rating,"The [benchmarks/numbers] are less charming",Medium,Comments on the tone of the evidence rather than reporting it.,Report the result and let the reader judge its charm.
Discourse markers,Argument self-commentary — evidence self-rating,The [artifact/example] that convinced me is [X],High,Tells the reader which evidence persuaded the writer instead of letting it persuade the reader.,Tell the story; the persuasion is the reader's to do.
Discourse markers,Argument self-commentary — evidence self-rating,"Start with [X], because it's the strongest evidence we have",High,Process narration plus a self-rating; announces the move instead of making it.,Start with X.
Discourse markers,Argument self-commentary — structural signposting,"The other half of the [read/argument/story] is [X]",High,Signposts position in the argument; the noun refers to the piece rather than the subject.,"Carry the turn with one word — ""also"" or ""either"" — or delete."
Discourse markers,Argument self-commentary — structural signposting,Then there's [X],Medium,Pure signpost with no content; a transition sentence hired to do a transition word's job.,Merge into the substance of the example.
Discourse markers,Argument self-commentary — structural signposting,[X] is only the surface of it,Medium,Announces that more is coming instead of delivering it.,Deliver the deeper point directly.
Discourse markers,Argument self-commentary — structural signposting,[X] sets the boundary on the [optimistic] version of this,High,Describes the shape of the argument; the subject of the sentence is the argument itself.,State the boundary as a finding about the subject.
Discourse markers,Argument self-commentary — structural signposting,That's the pattern in miniature,High,Rates an example as representative rather than showing that it is.,Cut; if the example is representative the reader will see it.
Discourse markers,Argument self-commentary — epistemic labeling,The open question is [X],High,Labels a claim's epistemic status in place of making the claim or naming what limits it.,Name the cause of the uncertainty as a fact — what specifically prevents knowing.
Discourse markers,Argument self-commentary — epistemic labeling,"[N] things stay provisional",Medium,Labels a list instead of giving it.,Give the items; the provisionality is evident from their content.
Discourse markers,Argument self-commentary — epistemic labeling,"One result complicates the picture, and it deserves a flag",High,Announces the epistemic move twice and refers to the piece as a picture.,Report the result and its verification status.
Discourse markers,Argument self-commentary — epistemic labeling,Our provisional verdict is [X],Medium,Announces the verdict before delivering it.,Deliver the verdict.
Discourse markers,Argument self-commentary — quote characterization,[Person] put it best,Medium,Interprets a quote before the quote speaks and supplies no task or context.,Name the person and what they were doing; then quote.
Discourse markers,Argument self-commentary — quote characterization,"The complaint was unanimous and differently worded",Medium,Characterizes a set of quotes rather than letting them accumulate; a common wrong fix for floating quotes.,Attribute each quote plainly and get out of the way.
Search pattern,Argument self-commentary — referent test,"the read | the section | the picture | the case | the evidence | the boundary | the takeaway",High,Nouns pointing at the artifact rather than the subject; a sentence whose grammatical subject is the piece is almost always commentary on the piece.,Rewrite so the subject is a person a model a task or a result. Exempt house navigation conventions and Reach ratings.
